Removing a book from the library,2021-05-04 18:33:22.06
Adding a book in the library,2021-05-04 18:34:42.813
Removing a book from the library,2021-05-04 18:34:45.385
Adding a book in the library,2021-05-04 20:39:20.632
Adding a book in the library,2021-05-04 21:18:39.005
Removing a book from the library,2021-05-04 21:18:41.11
See all the books in the library,2021-05-04 21:18:44.017
Borrowing a book,2021-05-04 21:18:52.232
See all the books in the library,2021-05-04 21:19:00.932
Adding a book in the library,2021-05-04 21:19:10.714
See all the books in the library,2021-05-04 21:19:14.514
Ending program,2021-05-04 21:19:25.594
Adding a book in the library,2021-05-04 21:46:13.144
Ending program,2021-05-04 21:46:29.494
Adding a book in the library,2021-05-04 21:48:54.75
Adding a book in the library,2021-05-06 15:20:12.225
Removing a book from the library,2021-05-06 15:20:29.729
Ending program,2021-05-06 15:20:34.146
Adding a book in the library,2021-05-06 15:34:31.659
Adding a book in the library,2021-05-06 15:35:38.658
See all books written by an author,2021-05-06 16:19:19.08
Ending program,2021-05-06 16:19:24.829
Adding a new reader,2021-05-06 17:10:42.987
Removing a new reader,2021-05-06 17:11:05.307
Adding a new reader,2021-05-06 17:14:46.18
Removing a new reader,2021-05-06 17:15:04.889
Borrowing a book,2021-05-06 17:49:17.116
Borrowing a book,2021-05-06 17:49:36.034
Borrowing a book,2021-05-06 17:50:27.128
Seeing all the books in the library,2021-05-06 17:50:43.726
Returning a book,2021-05-06 17:51:12.88
Seeing all the books in the library,2021-05-06 17:51:22.268
Ending program,2021-05-06 17:51:25.827
Borrowing a book,2021-05-06 19:18:36.962
Seeing all the books in the library,2021-05-06 19:18:57.368
Seeing all books written by an author,2021-05-06 19:19:15.686
Adding a new reader,2021-05-06 19:20:00.018
Seeing all the books in a section,2021-05-06 19:20:19.149
Seeing all the books in a section,2021-05-06 19:20:53.58
Returning a book,2021-05-06 19:21:24.981
Finding the most requested book,2021-05-06 19:21:32.952
Finding the most requested book,2021-05-06 19:28:03.771
Borrowing a book,2021-05-06 19:29:01.383
Borrowing a book,2021-05-06 19:30:45.807
Borrowing a book,2021-05-06 19:32:36.607
Borrowing a book,2021-05-06 19:33:52.621
Borrowing a book,2021-05-06 19:36:25.82
Borrowing a book,2021-05-06 19:37:00.46
Borrowing a book,2021-05-06 19:39:04.034
Finding the most requested book,2021-05-06 19:39:10.305
Ending program,2021-05-06 19:39:21.996
Borrowing a book,2021-05-06 19:42:55.783
Finding the most requested book,2021-05-06 19:43:00.344
Ending program,2021-05-06 19:43:04.792
Borrowing a book,2021-05-09 14:20:51.184
Borrowing a book,2021-05-09 14:22:19.905
Returning a book,2021-05-09 14:24:24.429
Borrowing a book,2021-05-09 15:08:27.83
Returning a book,2021-05-09 15:09:17.471
Returning a book,2021-05-09 15:09:35.958
Adding a book in the library,2021-05-09 15:59:45.807
Removing a book from the library,2021-05-09 16:00:22.332
Adding a book in the library,2021-05-09 16:00:46.689
Removing a book from the library,2021-05-09 16:01:13.524
Removing a book from the library,2021-05-09 16:01:26.704
Removing a book from the library,2021-05-09 16:02:23.804
Seeing all books written by an author,2021-05-09 16:02:45.087
Seeing all the books in a section,2021-05-09 16:02:56.668
Seeing all the books in the library,2021-05-09 16:03:01.492
Adding a new reader,2021-05-09 16:04:37.143
Removing a new reader,2021-05-09 16:05:02.272
Removing a new reader,2021-05-09 16:05:17.12
Removing a new reader,2021-05-09 16:05:38.973
Removing an author from the library,2021-05-09 16:05:54.721
Borrowing a book,2021-05-09 16:07:40.52
Borrowing a book,2021-05-09 16:08:18.078
Borrowing a book,2021-05-09 16:09:33.801
Returning a book,2021-05-09 16:09:50.991
Finding the most requested book,2021-05-09 16:09:55.362
Borrowing a book,2021-05-09 16:10:58.034
Borrowing a book,2021-05-09 16:11:30.486
Borrowing a book,2021-05-09 16:12:14.505
Returning a book,2021-05-09 16:12:38.02
Returning a book,2021-05-09 16:12:55.961
Returning a book,2021-05-09 16:13:20.76
Finding the most requested book,2021-05-09 16:13:24.939
Ending program,2021-05-09 16:13:29.147
Removing a new reader,2021-05-12 12:20:50.832
Borrowing a book,2021-05-12 12:22:10.463
Borrowing a book,2021-05-12 12:23:19.056
Borrowing a book,2021-05-12 12:25:37.602
Borrowing a book,2021-05-12 12:26:16.556
Returning a book,2021-05-12 12:27:27.539
Removing an author from the library,2021-05-12 12:27:55.19
Adding a book in the library,2021-05-12 12:29:43.228
Removing a new reader,2021-05-12 12:30:04.854
Removing an author from the library,2021-05-12 12:30:17.211
Removing an author from the library,2021-05-12 12:32:02.034
Removing an author from the library,2021-05-12 12:32:55.747
Adding a book in the library,2021-05-12 12:33:17.096
Removing an author from the library,2021-05-12 12:33:36.525
Adding a book in the library,2021-05-20 13:12:04.427
Adding a book in the library,2021-05-20 13:14:07.07
Adding a book in the library,2021-05-20 13:45:24.937
